Name,Price,Rating,Release,Follows,Online,Peak,Genre
江湖问情,Free,80.02%,May 2024,236,0,821,3D-Fighter
Vestige,Free,80.01%,Jan 2022,259,0,38,3D-Fighter
Battle Balls,$1.99,80.00%,Jan 2025,145,0,6,3D-Fighter
Primordial Pain,$4.99,79.89%,Oct 2022,156,0,5,3D-Fighter
BOTSU DemoDemo,Free,79.84%,Dec 2023,—,4,328,3D-Fighter
Slapstick Bosses,Free,79.83%,Jun 2025,87,1,5,3D-Fighter
Brawlers of the West: Prologue,Free,79.71%,Oct 2025,99,3,9,3D-Fighter
Guns N Stuff 2,$6.99,79.71%,Jul 2022,50,0,19,3D-Fighter
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2: Kaigaku Character PackDLC,$4.99,79.71%,Oct 2025,—,—,—,3D-Fighter
THE KING OF FIGHTERS XIV STEAM EDITION,$8.99,79.67%,Jun 2017,"44,918",21,"1,197",3D-Fighter
Tank Royale,$9.99,79.67%,Apr 2019,408,0,14,3D-Fighter
Gladio Mori,$15.99,79.64%,Nov 2024,"9,191",30,306,3D-Fighter
Street Fighting Simulator,$0.99,79.46%,Mar 2024,47,0,4,3D-Fighter
Grandma's Cheese,$0.99,79.39%,Apr 2023,15,1,2,3D-Fighter
The Alien Trials,$1.99,79.32%,Mar 2021,129,0,8,3D-Fighter
Beach Invasion 1941-Pearl HarborDLC,$4.99,79.32%,Dec 2024,—,—,—,3D-Fighter
Fat Prisoner Simulator 3,$0.49,79.31%,Jan 2021,113,0,5,3D-Fighter
Valgrave: Immortal Plains,Free,79.30%,Feb 2020,"3,327",0,168,3D-Fighter
Hexagon Knockout,Free,79.24%,Aug 2021,264,0,51,3D-Fighter
Kinky Fight Club 2,$16.00,79.23%,Jun 2025,"1,241",3,49,3D-Fighter
Tenders Fight,$4.99,79.23%,May 2023,148,0,3,3D-Fighter
Revenge of the Silent Dan: New York CriminalityDLC,Free,79.23%,Feb 2025,—,—,—,3D-Fighter
Mega Hero,$9.99,79.04%,Sep 2024,364,0,7,3D-Fighter
Wretch: Divine Ascent,$13.49,78.69%,Nov 2025,"3,799",328,"2,393",3D-Fighter
Chivalry 2,$39.99,78.54%,Jun 2022,"117,823","1,342","16,959",3D-Fighter
Spirit X Strike,$12.99,78.45%,Jun 2025,"4,951",0,147,3D-Fighter
ToyLand,Free,78.40%,Mar 2023,93,0,3,3D-Fighter
Shuyan Saga™,$14.99,78.30%,Aug 2017,"3,833",0,25,3D-Fighter
Bridge Hunter,$8.99,78.30%,Nov 2025,624,2,5,3D-Fighter
Inquisitor’s Heart and Soul,$1.40,78.29%,Nov 2025,973,4,198,3D-Fighter
Party Animals,$19.99,78.26%,Sep 2023,"647,838","2,712","104,174",3D-Fighter
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,$41.99,78.25%,Aug 2025,"19,348",275,"2,632",3D-Fighter
Crazy Kung Fu,$14.99,78.14%,Jun 2023,500,1,5,3D-Fighter
Bengan Yes,Free,78.14%,Dec 2022,212,0,108,3D-Fighter
Stilt,$19.99,78.13%,Mar 2024,138,0,8,3D-Fighter
Foreskin Fury,$3.99,78.06%,Apr 2024,"1,601",0,69,3D-Fighter
Jujutsu Kaisen Cursed Clash - Hidden Inventory/Premature DeathDLC,$19.99,77.95%,May 2024,—,—,—,3D-Fighter
Boxing Simulator,$7.99,77.94%,Dec 2023,247,2,31,3D-Fighter
GUNZO!,Free,77.93%,Dec 2021,100,0,4,3D-Fighter
Bulletproof Tank Adventure,$0.99,77.87%,Jan 2025,19,0,3,3D-Fighter
dancing chair,Free,77.68%,Feb 2020,82,0,6,3D-Fighter
One Piece Burning Blood,$9.74,77.55%,Sep 2016,"29,007",15,857,3D-Fighter
Mitsurugi Kamui Hikae,$9.99,77.55%,Mar 2014,"12,094",2,188,3D-Fighter
Strength of the Sword ULTIMATE,$0.99,77.51%,Aug 2019,"1,199",0,8,3D-Fighter
Shaolin Bao,$11.99,77.41%,Apr 2025,92,0,6,3D-Fighter
Little Rhapsody of Game,Free,77.41%,Jun 2022,45,0,5,3D-Fighter
Marble Smashers,$7.99,77.41%,Jun 2024,17,0,5,3D-Fighter
Rock Paper Scissors Party DemoDemo,Free,77.41%,Nov 2025,—,0,8,3D-Fighter
Guilty Loving Boxing,$19.99,77.40%,Jan 2024,274,0,5,3D-Fighter
