Name,Price,Rating,Release,Follows,Online,Peak,Genre
AQUARIUM,$20.46,91.09%,Oct 2023,"5,385",3,127,Dating-Sim
Purrfect Apawcalypse: Patches' Infurno,$6.99,91.09%,May 2021,742,2,14,Dating-Sim
DATE A LIVE: Rio Reincarnation,$39.98,91.08%,Jul 2019,"24,110",13,890,Dating-Sim
小白兔电商~Bunny e-Shop,$7.36,91.05%,Nov 2021,"19,755",2,"1,935",Dating-Sim
STEINS;GATE: My Darling's Embrace,$29.99,91.05%,Dec 2019,"8,068",10,137,Dating-Sim
SENRAN KAGURA ESTIVAL VERSUS,$8.99,91.03%,Mar 2017,"62,703",11,"1,088",Dating-Sim
Love Curse: Find Your Soulmate,$12.99,91.03%,Apr 2025,"10,137",17,"1,368",Dating-Sim
Love at First Sight,$9.99,91.03%,May 2015,"6,403",0,64,Dating-Sim
Hatoful Boyfriend,$9.99,91.01%,Sep 2014,"11,601",5,429,Dating-Sim
Our Life: Now & Forever DemoDemo,Free,91.00%,Jan 2022,—,14,598,Dating-Sim
Handyman Fantasy,$7.99,90.99%,Jun 2025,"10,931",53,"2,626",Dating-Sim
Florence,$1.49,90.97%,Feb 2020,"19,227",3,141,Dating-Sim
Mosaique Neko Waifus 2,$4.99,90.95%,Jun 2020,"10,020",2,722,Dating-Sim
Purrfect Apawcalypse: Purrgatory Furever,$5.99,90.86%,Oct 2019,679,4,14,Dating-Sim
Friendship with Benefits,$10.99,90.79%,Nov 2020,"8,071",3,272,Dating-Sim
Little Goody Two Shoes,$19.99,90.78%,Nov 2023,"13,198",25,452,Dating-Sim
LoveChoice,$1.99,90.76%,Nov 2021,"40,026",15,"10,241",Dating-Sim
冬日树下的回忆AFTER,Free,90.74%,Dec 2023,532,1,27,Dating-Sim
DRAPLINE,$9.99,90.71%,Jun 2025,"3,746",8,995,Dating-Sim
Please Be Happy,$19.99,90.71%,Nov 2022,"3,744",2,72,Dating-Sim
Monster Prom,$11.99,90.69%,Apr 2018,"34,917",21,"1,510",Dating-Sim
Private Dorm Manager,$10.99,90.67%,Dec 2023,"38,157",42,"3,914",Dating-Sim
Tayutama 2-you're the only one-,$34.99,90.66%,Dec 2016,"27,237",2,155,Dating-Sim
Robin Morningwood Adventure - A gay RPG,$34.99,90.66%,Sep 2022,"7,712",15,280,Dating-Sim
Making*Lovers,$29.99,90.64%,Apr 2020,"5,032",5,211,Dating-Sim
There is No GreenDam,Free,90.60%,Nov 2019,"4,353",2,41,Dating-Sim
Sani Yang's Laboratory,$24.99,90.60%,Sep 2025,"3,153",8,143,Dating-Sim
美女，请别影响我成仙,$10.99,90.57%,Jun 2025,"16,566",35,"13,040",Dating-Sim
A Date with Death - Beyond the Bet DLCDLC,$9.99,90.51%,Dec 2024,—,—,—,Dating-Sim
Kaori After Story,$9.99,90.42%,Dec 2018,"2,142",0,123,Dating-Sim
"Love, Ghostie",$19.99,90.39%,Aug 2024,"4,368",0,210,Dating-Sim
Hakuoki: Edo Blossoms,$9.99,90.39%,Mar 2018,"4,012",9,128,Dating-Sim
Coming Out on Top,$14.99,90.37%,Dec 2014,"10,567",3,394,Dating-Sim
Roots of Pacha,$24.99,90.34%,Apr 2023,"44,424",184,"6,062",Dating-Sim
Pizza Game,$9.99,90.34%,Sep 2019,"1,226",0,110,Dating-Sim
