Name,Price,Rating,Release,Follows,Online,Peak,Genre
Sagebrush,$6.99,87.03%,Sep 2018,787,0,22,Walking-Simulator
Dreaming Sarah,$5.99,87.01%,Mar 2015,"4,236",1,"3,038",Walking-Simulator
Torn Away,$14.99,87.00%,Sep 2023,"2,572",2,56,Walking-Simulator
Fox! Hen! Bag!,Free,86.99%,Mar 2020,266,0,6,Walking-Simulator
This Bed We Made,$24.99,86.98%,Nov 2023,"14,396",19,506,Walking-Simulator
Summerland,Free,86.98%,Dec 2020,"2,693",0,107,Walking-Simulator
Exo One,$16.99,86.96%,Nov 2021,"25,871",7,747,Walking-Simulator
Coconut Simulator,$0.99,86.91%,Nov 2024,235,10,51,Walking-Simulator
The Savior From Above,Free,86.91%,Dec 2021,645,0,28,Walking-Simulator
It Comes In Waves,$0.92,86.91%,Apr 2023,851,1,19,Walking-Simulator
Hollow Cocoon,$14.99,86.89%,Dec 2023,"6,342",1,863,Walking-Simulator
"Mýrdalssandur, Iceland",—,86.87%,Mar 2020,"6,336",0,119,Walking-Simulator
Gravity Bone,Free,86.86%,Sep 2008,351,0,9,Walking-Simulator
The Scourge | Tai Ương,$9.99,86.84%,Oct 2024,"3,142",2,431,Walking-Simulator
My Big Sister,$5.99,86.83%,Nov 2018,"2,991",0,222,Walking-Simulator
Blood Orange: Definitive Edition,Free,86.83%,Nov 2023,483,1,10,Walking-Simulator
Haunted Room : 205,$4.99,86.82%,Aug 2025,618,2,62,Walking-Simulator
Scary Game,$0.99,86.78%,Jul 2025,162,2,8,Walking-Simulator
A Walk With Yiayia,$7.99,86.74%,Nov 2022,638,0,4,Walking-Simulator
Layers of Fear (2016),$19.99,86.73%,Feb 2016,"69,797",24,"145,384",Walking-Simulator
Stairway,Free,86.73%,May 2024,231,1,24,Walking-Simulator
Lushfoil Photography Sim,$9.74,86.72%,Apr 2025,"16,115",5,401,Walking-Simulator
HOME,Free,86.65%,May 2019,"4,293",0,102,Walking-Simulator
Super-Patriota Simulator,$1.99,86.62%,Jan 2024,363,0,11,Walking-Simulator
Don't Forget,Free,86.60%,Jun 2024,193,1,22,Walking-Simulator
Taiji,$24.99,86.50%,Sep 2022,"3,255",8,733,Walking-Simulator
Mists of Aiden,$6.99,86.47%,Nov 2020,"4,044",0,45,Walking-Simulator
Summer of '58,$8.99,86.46%,Jul 2021,"5,796",4,162,Walking-Simulator
Garage Sale,$6.99,86.46%,Jun 2024,328,0,12,Walking-Simulator
That Which Gave Chase,$4.99,86.45%,Jun 2023,"1,769",3,72,Walking-Simulator
He Fucked The Girl Out of Me,Free,86.44%,Jul 2023,527,0,24,Walking-Simulator
A Simple Garbage Sorting Game,$0.99,86.44%,Jan 2025,100,0,8,Walking-Simulator
Devolverland Expo,Free,86.43%,Jul 2020,"8,930",0,"6,394",Walking-Simulator
Letters to Arralla,$16.99,86.42%,Sep 2025,941,1,27,Walking-Simulator
Meadow - A Shelter Game,$6.99,86.40%,Oct 2016,"25,983",8,"15,036",Walking-Simulator
The Medium,$49.99,86.39%,Jan 2021,"44,647",11,"2,765",Walking-Simulator
Shutter Story DemoDemo,Free,86.37%,Oct 2025,—,40,136,Walking-Simulator
Newfound Courage,$8.99,86.34%,Mar 2019,"1,367",0,15,Walking-Simulator
Dead Seater,Free,86.30%,Apr 2021,535,0,12,Walking-Simulator
Cosmonious High,$13.99,86.27%,Mar 2022,"1,154",5,80,Walking-Simulator
MOUTHOLE,—,86.27%,Apr 2024,769,0,55,Walking-Simulator
Employee of The Month,$9.99,86.27%,Sep 2022,404,0,12,Walking-Simulator
Monster Garden,$4.99,86.26%,Feb 2018,404,0,2,Walking-Simulator
Scanner Sombre,$6.99,86.25%,Apr 2017,"7,210",5,194,Walking-Simulator
Within the Backrooms,$7.99,86.23%,Jan 2023,499,0,9,Walking-Simulator
Still Wakes the Deep,$34.99,86.22%,Jun 2024,"42,320",52,927,Walking-Simulator
There Exists Nobody,$4.99,86.21%,Dec 2024,"3,045",1,236,Walking-Simulator
Amerzone - The Explorer's Legacy,$39.99,86.21%,Apr 2025,"8,248",33,218,Walking-Simulator
Escape from Mutation Station,$3.99,86.21%,Mar 2025,139,0,13,Walking-Simulator
The Beginner's Guide,$9.99,86.20%,Oct 2015,"39,949",2,947,Walking-Simulator
Virtual Virtual Reality,$14.99,86.18%,Mar 2017,"2,522",0,49,Walking-Simulator
QT,$9.99,86.18%,Jan 2020,785,1,11,Walking-Simulator
Neyasnoe,$9.99,86.17%,Aug 2023,"1,080",0,12,Walking-Simulator
CROWDED. FOLLOWED.,$5.99,86.16%,Oct 2024,"1,249",0,18,Walking-Simulator
Berry People,$2.99,86.16%,Feb 2023,342,0,11,Walking-Simulator
The Invincible,$29.31,86.15%,Nov 2023,"62,019",45,"1,237",Walking-Simulator
Fuck You Witch,$9.99,86.15%,Mar 2024,"1,668",1,48,Walking-Simulator
Midnight Monitor: Aldercourt,$4.99,86.15%,Mar 2024,287,0,16,Walking-Simulator
Our way down,—,86.14%,Mar 2022,358,0,26,Walking-Simulator
Jishogi,$4.99,86.14%,Jun 2022,247,0,17,Walking-Simulator
Seashell,$3.99,86.13%,Mar 2022,223,0,12,Walking-Simulator
