Name,Price,Rating,Release,Follows,Online,Peak,Genre
FREE DUROV - DEMODemo,Free,84.50%,Oct 2024,—,0,36,Colony-Sim
Ratopia,$22.00,84.45%,May 2025,"36,117",281,"5,772",Colony-Sim
Mars Attracts,$24.99,84.41%,Sep 2025,"6,618",6,148,Colony-Sim
Jumbo Airport Story,$8.99,84.41%,Jun 2023,"1,930",2,531,Colony-Sim
FREE DUROV,$3.99,84.41%,Dec 2024,454,0,85,Colony-Sim
Mega Mall Story 2,$5.75,84.40%,Mar 2023,623,0,67,Colony-Sim
Celestial Empire,$19.99,84.38%,Sep 2025,"29,663",59,734,Colony-Sim
Toy Trains,$14.99,84.34%,Jan 2024,662,1,8,Colony-Sim
Cliff Empire,$14.99,84.32%,Aug 2019,"50,225",20,"3,099",Colony-Sim
World Cruise Story,$8.99,84.31%,Oct 2022,422,1,32,Colony-Sim
Shiny Ski Resort,$8.99,84.27%,Nov 2022,472,2,55,Colony-Sim
Pan'orama,$8.39,84.26%,May 2023,"8,337",12,573,Colony-Sim
T-Minus 30,$9.99,84.24%,Aug 2021,"1,684",0,63,Colony-Sim
Asbury Pines,$9.74,84.13%,Nov 2025,"1,798",610,898,Colony-Sim
Mind Over Magic,$24.36,84.11%,Feb 2025,"49,761",208,"4,113",Colony-Sim
Survivalist: Invisible Strain,$11.99,84.08%,Apr 2025,"19,178",147,795,Colony-Sim
Diluvian Winds: Prologue,—,84.07%,Sep 2022,"2,058",0,283,Colony-Sim
"Horticular: Build a Garden, Attract Wildlife",$19.99,84.06%,Jul 2024,"4,584",9,292,Colony-Sim
Foundation,$23.44,84.05%,Jan 2025,"227,415","1,686","18,448",Colony-Sim
Diplomacy is Not an Option: Shareware,Free,84.05%,Apr 2025,"1,754",98,766,Colony-Sim
Microtopia: Prologue,Free,83.99%,Oct 2024,"1,119",1,48,Colony-Sim
Fill Up The Hole DemoDemo,Free,83.99%,Apr 2025,—,0,89,Colony-Sim
Stationeers,$34.99,83.98%,Dec 2017,"65,054",731,"2,037",Colony-Sim
Stronghold: Definitive Edition,$14.99,83.98%,Nov 2023,"48,649",270,"9,672",Colony-Sim
Amazing Cultivation Simulator,$24.99,83.96%,Nov 2020,"115,328",249,"18,349",Colony-Sim
Stronghold Legends: Steam Edition,$14.99,83.89%,Oct 2009,"8,174",106,313,Colony-Sim
Moons of Ardan,$19.99,83.84%,Oct 2021,"2,163",0,25,Colony-Sim
The Home County,$11.89,83.84%,Sep 2025,767,5,18,Colony-Sim
Space Haven,$22.99,83.83%,May 2020,"116,498",237,"5,687",Colony-Sim
Water Bears VR,—,83.83%,Jan 2016,741,0,114,Colony-Sim
They Are Billions,$29.99,83.77%,Jun 2019,"277,905","1,653","22,395",Colony-Sim
Settlement Survival,$19.99,83.76%,Oct 2022,"72,245",156,"5,613",Colony-Sim
Manor Lords,$25.99,83.71%,Apr 2024,"542,332","4,441","173,178",Colony-Sim
Mini Settlers: Prologue,Free,83.65%,Apr 2024,"2,651",3,841,Colony-Sim
Diggles: The Myth of Fenris,$3.99,83.63%,Dec 2020,"2,666",32,395,Colony-Sim
Regions Of Ruin,$11.99,83.60%,Feb 2018,"14,240",10,"3,062",Colony-Sim
Dungeon Village,$8.99,83.57%,Mar 2022,"3,558",3,415,Colony-Sim
United Penguin Kingdom: Huddle up,Free,83.57%,Dec 2023,"2,795",1,476,Colony-Sim
Kingdom: New Lands,$2.99,83.55%,Aug 2016,"45,178",95,"3,518",Colony-Sim
Casino Resort Tower,$19.99,83.55%,Jun 2023,"1,071",5,41,Colony-Sim
War for the Overworld,$29.73,83.51%,Apr 2015,"51,168",84,"2,227",Colony-Sim
Voxel Zundamon Castle,$12.99,83.41%,Dec 2024,417,4,75,Colony-Sim
Pocket Stables,$8.99,83.36%,Sep 2022,"1,222",2,231,Colony-Sim
CosmoOdyssey:Trip to Mars,$4.99,83.36%,Aug 2022,437,0,4,Colony-Sim
Screeps: World,$19.99,83.35%,Nov 2016,"34,546",46,359,Colony-Sim
This Grand Life 2,$17.99,83.34%,Aug 2025,"3,074",11,380,Colony-Sim
Terraformers: First Steps on Mars,Free,83.32%,Oct 2021,"5,717",1,243,Colony-Sim
Empires of the Undergrowth - Supporter PackDLC,$7.99,83.30%,Mar 2025,—,—,—,Colony-Sim
Workers & Resources: Soviet Republic - Help for UkraineDLC,$4.99,83.30%,Nov 2024,—,—,—,Colony-Sim
Fabledom,$20.99,83.26%,May 2024,"59,429",130,"4,266",Colony-Sim
Buggos,$15.99,83.19%,Mar 2022,"4,126",11,700,Colony-Sim
Oceaneers DemoDemo,Free,83.14%,Sep 2025,—,5,92,Colony-Sim
EarthX,$18.39,83.02%,Jul 2023,"3,879",1,159,Colony-Sim
Gnomes Garden 2,$7.49,82.98%,May 2016,188,0,"2,651",Colony-Sim
Easy Bubbles DemoDemo,Free,82.95%,May 2025,—,0,19,Colony-Sim
Sand: A Superfluous Game,$9.99,82.85%,Sep 2025,648,0,9,Colony-Sim
Stardeus,$29.99,82.84%,Oct 2022,"30,765",61,"2,139",Colony-Sim
Reignfall,$4.99,82.82%,Dec 2018,"2,446",0,48,Colony-Sim
Diplomacy is Not an Option,$29.99,82.69%,Oct 2024,"88,629",680,"5,950",Colony-Sim
Whiskerwood DemoDemo,Free,82.68%,Sep 2025,—,32,765,Colony-Sim
Stranded: Alien Dawn,$34.99,82.62%,Apr 2023,"108,723",744,"8,792",Colony-Sim
My Colony,$4.99,82.58%,May 2016,492,16,23,Colony-Sim
Ground of Aces,$24.99,82.55%,Jul 2025,"16,392",77,686,Colony-Sim
Prison Architect - Free For LifeDLC,Free,82.55%,Sep 2022,—,—,—,Colony-Sim
Academia : School Simulator,$19.99,82.48%,Sep 2017,"24,241",23,471,Colony-Sim
Rebuild 3: Gangs of Deadsville,$14.99,82.48%,May 2015,"20,178",37,"1,185",Colony-Sim
Pocket Harvest,$3.23,82.37%,Jan 2023,711,3,68,Colony-Sim
Eden Crafters,$19.99,82.28%,Oct 2024,"26,497",147,"1,577",Colony-Sim
Icaria,$24.99,82.19%,Apr 2025,"4,128",5,93,Colony-Sim
Knights and Merchants,$9.99,82.18%,Oct 2013,"10,494",111,"7,481",Colony-Sim
Microtopia,$19.99,82.04%,Feb 2025,"13,623",48,"1,619",Colony-Sim
Scorchlands,$11.99,81.89%,Jul 2024,"2,892",0,24,Colony-Sim
Dungeon Village 2,$8.99,81.88%,May 2023,"3,700",32,923,Colony-Sim
Drill Core,$19.99,81.79%,Jul 2025,"20,023",97,"2,549",Colony-Sim
ISLANDERS: New Shores DemoDemo,Free,81.78%,Mar 2025,—,1,130,Colony-Sim
The Promised Land,$6.99,81.65%,Jul 2012,"1,226",5,225,Colony-Sim
Magazine Mogul,$8.99,81.65%,Sep 2022,249,0,22,Colony-Sim
