Name,Price,Rating,Release,Follows,Online,Peak,Genre
NEEDY STREAMER OVERLOAD,$15.99,92.93%,Jan 2022,"113,501",242,"3,674",Point-And-Click
Five Nights at Freddy's: Into the Pit,$19.99,92.92%,Aug 2024,"29,642",31,"6,995",Point-And-Click
Tails Noir: Prologue,Free,92.91%,Apr 2019,"15,524",1,565,Point-And-Click
Insomnia: Theater in the Head,$2.49,92.89%,Dec 2022,"2,275",0,80,Point-And-Click
Resonance of the Ocean,Free,92.87%,Jul 2022,"1,592",1,29,Point-And-Click
Cats Hidden in Bali,$0.99,92.85%,Sep 2023,647,2,65,Point-And-Click
The Rewinder,$14.38,92.84%,Sep 2021,"21,792",4,"1,304",Point-And-Click
A Taste of the Past,Free,92.79%,Mar 2022,"1,594",0,47,Point-And-Click
Cats Hidden in Italy,$0.99,92.79%,Jul 2023,778,2,51,Point-And-Click
Rakuen,$14.99,92.77%,May 2017,"17,983",1,235,Point-And-Click
The Curse of Monkey Island,$6.99,92.73%,Oct 1997,"8,424",33,374,Point-And-Click
The Walking Dead: The Final Season,$19.99,92.72%,Aug 2018,"46,365",104,"4,120",Point-And-Click
Machinarium,$19.99,92.71%,Oct 2009,"30,559",90,"1,279",Point-And-Click
Whisper of the House,$14.99,92.71%,Aug 2025,"23,683",142,"4,015",Point-And-Click
We Become What We Behold [Fan-Made Port],Free,92.66%,Jul 2019,"4,547",18,443,Point-And-Click
Pilgrims,$6.99,92.65%,Oct 2019,"9,924",7,491,Point-And-Click
Submachine: Legacy,$24.99,92.60%,Oct 2023,"4,721",6,523,Point-And-Click
Primordia,$9.99,92.58%,Dec 2012,"12,146",1,178,Point-And-Click
Minds Beneath Us,$19.99,92.55%,Jul 2024,"18,298",22,663,Point-And-Click
Dagon: by H. P. Lovecraft,Free,92.54%,Sep 2021,"18,318",1,755,Point-And-Click
100 Funny Cats,Free,92.47%,Apr 2024,"1,217",0,"1,884",Point-And-Click
Servant of the Lake DemoDemo,Free,92.47%,Oct 2025,—,3,"1,670",Point-And-Click
A Space For The Unbound - Prologue,Free,92.43%,Jan 2020,"3,295",0,19,Point-And-Click
Long Dream,$6.99,92.43%,Apr 2023,"1,315",0,66,Point-And-Click
Ithya: Magic Studies,$10.99,92.41%,May 2025,"6,683",197,698,Point-And-Click
Birth,$10.99,92.34%,Feb 2023,"6,394",7,183,Point-And-Click
Little Inferno,$4.94,92.33%,Nov 2012,"12,017",76,"2,129",Point-And-Click
Zup! 2,$1.99,92.31%,Dec 2016,"4,175",1,376,Point-And-Click
Mitoza,Free,92.30%,Mar 2021,"1,814",2,126,Point-And-Click
A Park Full of Cats,Free,92.28%,Sep 2024,"1,649",8,467,Point-And-Click
The Past Within,$5.99,92.27%,Nov 2022,"36,662",39,"11,642",Point-And-Click
100 March Cats,Free,92.26%,Mar 2024,"1,240",2,805,Point-And-Click
Rusty Lake Paradise,$3.99,92.25%,Jan 2018,"16,302",53,"1,380",Point-And-Click
Cats Hidden in Maple Hollow 🍂,$0.99,92.24%,Nov 2023,490,4,56,Point-And-Click
Smile For Me,$12.99,92.23%,May 2019,"3,928",1,102,Point-And-Click
Pentiment,$9.99,92.22%,Nov 2022,"29,139",88,"1,250",Point-And-Click
PARANORMASIGHT: The Seven Mysteries of Honjo,$19.99,92.21%,Mar 2023,"12,972",15,723,Point-And-Click
Samorost 1,Free,92.21%,May 2021,"4,269",5,186,Point-And-Click
Ever Seen A Cat?,$1.99,92.21%,Jan 2022,439,0,16,Point-And-Click
Strange Horticulture,$15.99,92.18%,Jan 2022,"29,176",85,"1,356",Point-And-Click
Later Alligator,$17.99,92.13%,Sep 2019,"7,408",3,255,Point-And-Click
60 Seconds! Reatomized,$4.99,92.08%,Jul 2019,"30,499",279,"1,251",Point-And-Click
Don't Escape Trilogy,$4.99,92.08%,Jul 2019,"1,431",1,44,Point-And-Click
Duck Detective: The Secret Salami,$9.99,92.07%,May 2024,"12,544",7,456,Point-And-Click
Enigmatis 2: The Mists of Ravenwood,$14.99,92.07%,Sep 2013,"3,391",8,861,Point-And-Click
Shadows Over Loathing,$22.99,92.06%,Nov 2022,"14,888",35,"3,077",Point-And-Click
Pajama Sam: No Need to Hide When It's Dark Outside,$6.99,92.05%,Oct 1996,"1,622",25,169,Point-And-Click
Am I Nima DemoDemo,Free,92.05%,Feb 2025,—,4,115,Point-And-Click
Chill Pulse,$4.99,92.03%,May 2024,"11,024",220,"2,189",Point-And-Click
The Secret of Monkey Island: Special Edition,$9.99,91.99%,Jul 2009,"9,531",39,746,Point-And-Click
Cats and Seek: Kyoto,Free,91.98%,Jun 2024,872,3,264,Point-And-Click
Five Nights at Freddy's,$4.99,91.97%,Aug 2014,"72,104",154,"1,536",Point-And-Click
My succubus Kukula,Free,91.97%,Apr 2024,868,0,105,Point-And-Click
Duck Simulator 2,Free,91.96%,Nov 2021,676,0,180,Point-And-Click
DISTRAINT 2,$0.80,91.95%,Nov 2018,"6,262",2,"1,076",Point-And-Click
The Procession to Calvary,$9.99,91.95%,Apr 2020,"4,635",5,73,Point-And-Click
Tangle Tower,$19.99,91.94%,Oct 2019,"6,364",5,345,Point-And-Click
Agent A: A puzzle in disguise,$1.99,91.94%,Aug 2019,"5,936",18,319,Point-And-Click
Tales from the Borderlands,$19.99,91.93%,Feb 2021,"80,480",59,"8,690",Point-And-Click
Otaku's Adventure,$6.99,91.89%,May 2019,"21,233",2,"2,792",Point-And-Click
Botanicula,$14.99,91.88%,May 2012,"15,102",13,428,Point-And-Click
Zup! 8,$1.99,91.88%,Feb 2018,"1,674",3,754,Point-And-Click
Blackwell Epiphany,$9.99,91.88%,Apr 2014,"1,561",0,105,Point-And-Click
Cats Hidden in China,$0.99,91.85%,Apr 2024,521,3,114,Point-And-Click
"If On A Winter's Night, Four Travelers",Free,91.82%,Sep 2021,"4,400",3,129,Point-And-Click
Floating Point,Free,91.81%,Jun 2014,"3,430",1,754,Point-And-Click
When The Past Was Around,$7.99,91.77%,Sep 2020,"11,430",2,171,Point-And-Click
Strange Antiquities,$17.99,91.73%,Sep 2025,"14,324",144,"2,521",Point-And-Click
Escape Simulator,$19.99,91.72%,Oct 2021,"83,104",389,"6,616",Point-And-Click
Cats Hidden in Christmas,Free,91.71%,Dec 2024,536,2,89,Point-And-Click
A Shelter Full of Cats,$4.99,91.67%,Dec 2024,996,5,287,Point-And-Click
Cleo - a pirate's tale,$14.99,91.66%,Dec 2021,"1,978",0,59,Point-And-Click
Disco Elysium - The Final Cut,$9.99,91.65%,Oct 2019,"221,475","1,976","8,081",Point-And-Click
BROK the InvestiGator,$9.99,91.63%,Aug 2022,"5,245",11,223,Point-And-Click
Dangeresque: The Roomisode Triungulate,$7.99,91.59%,Aug 2023,"1,716",0,148,Point-And-Click
A Building Full of Cats 2,$6.99,91.59%,Jun 2025,"1,085",16,437,Point-And-Click
Five Nights at Freddy's 2,$7.99,91.55%,Nov 2014,"52,093",84,"1,725",Point-And-Click
My Brother Rabbit,$14.99,91.55%,Sep 2018,"4,266",4,89,Point-And-Click
Mushroom Cats,Free,91.54%,Jun 2019,"1,236",1,115,Point-And-Click
Life is Strange: Before the Storm,$16.99,91.46%,Aug 2017,"113,569",40,"16,209",Point-And-Click
The Great Ace Attorney Chronicles,$15.99,91.41%,Jul 2021,"30,338",153,"2,523",Point-And-Click
Unpacking,$7.99,91.38%,Nov 2021,"67,246",403,"2,512",Point-And-Click
Not For Broadcast,$24.99,91.38%,Jan 2022,"39,951",45,864,Point-And-Click
Unavowed,$14.99,91.36%,Aug 2018,"9,149",10,327,Point-And-Click
Landlord of the Woods,$0.99,91.36%,Mar 2021,750,0,19,Point-And-Click
Aurora Hills: Chapter 1,Free,91.34%,Apr 2024,"4,670",31,162,Point-And-Click
Zup!,$1.99,91.33%,Oct 2016,"3,974",2,"1,029",Point-And-Click
Enjoy the Diner,$10.99,91.33%,Jul 2023,"2,635",2,72,Point-And-Click
Detective Grimoire,$6.99,91.28%,Aug 2014,"3,008",2,86,Point-And-Click
The Red Strings Club,$14.99,91.25%,Jan 2018,"30,507",7,287,Point-And-Click
Contradiction: Spot The Liar,$12.99,91.24%,Jul 2015,"9,596",1,70,Point-And-Click
Neighbours back From Hell,$14.99,91.24%,Oct 2020,"6,939",19,553,Point-And-Click
100 Dino Cats,Free,91.24%,Feb 2024,"1,489",1,"2,049",Point-And-Click
What Never Was,Free,91.23%,Jan 2019,"8,666",3,181,Point-And-Click
The Crown of Leaves,$5.99,91.21%,Nov 2018,"8,911",0,270,Point-And-Click
Soda Dungeon,Free,91.14%,Feb 2017,"11,483",80,"5,690",Point-And-Click
Behind the Frame: The Finest Scenery,$7.14,91.13%,Aug 2021,"15,433",8,180,Point-And-Click
Deep Sleep Trilogy,$4.99,91.12%,Oct 2019,"1,222",0,30,Point-And-Click
Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,$9.99,91.11%,Jul 2010,"6,352",19,"1,813",Point-And-Click
Sticky Business,$4.99,91.10%,Jul 2023,"10,753",77,"1,120",Point-And-Click
Sprout,Free,91.10%,Mar 2007,"1,793",0,46,Point-And-Click
Who's Lila?,$11.99,91.09%,Feb 2022,"8,077",16,111,Point-And-Click
Zup! 7,$1.99,91.09%,Dec 2017,990,2,483,Point-And-Click
The Darkside Detective: A Fumble in the Dark,$6.74,91.08%,Apr 2021,"6,411",13,216,Point-And-Click
UNREAL LIFE,$19.99,91.02%,Nov 2020,"7,597",2,84,Point-And-Click
Zup! 9,$1.99,91.00%,Jun 2019,"1,006",0,421,Point-And-Click
Florence,$1.49,90.97%,Feb 2020,"19,227",9,141,Point-And-Click
Tiny Bunny: Prologue,Free,90.97%,Mar 2020,"5,468",2,142,Point-And-Click
Roman's Christmas / 罗曼圣诞探案集,$10.99,90.97%,Feb 2020,"4,753",0,348,Point-And-Click
Do Not Feed the Monkeys,$15.99,90.96%,Oct 2018,"42,295",182,"1,888",Point-And-Click
Potion Craft: Alchemist Simulator,$19.99,90.95%,Dec 2022,"124,428",643,"10,161",Point-And-Click
The Darkside Detective,$14.99,90.94%,Jul 2017,"10,783",6,252,Point-And-Click
100 Aliens Cats,Free,90.92%,Jun 2024,"1,307",8,"14,154",Point-And-Click
Fate/hollow ataraxia REMASTERED,$29.99,90.88%,Aug 2025,"5,793",40,687,Point-And-Click
Lots of Cats in Every Moment,Free,90.86%,Jul 2024,527,22,515,Point-And-Click
Cats Hidden in Japan,$0.99,90.83%,Feb 2025,425,2,112,Point-And-Click
Cats in Time,$4.99,90.81%,Aug 2021,"2,341",4,108,Point-And-Click
Four Last Things,$9.99,90.80%,Feb 2017,"3,230",1,145,Point-And-Click
Hexologic,$4.99,90.79%,May 2018,753,2,133,Point-And-Click
Capybara Spa,$7.99,90.76%,Mar 2022,"2,755",2,188,Point-And-Click
100 Cats New York,Free,90.75%,Aug 2024,359,1,47,Point-And-Click
Children of Silentown: Prologue,Free,90.74%,Nov 2020,"4,344",0,134,Point-And-Click
Cats Hidden Around the World,$4.99,90.72%,Jun 2024,"1,030",3,225,Point-And-Click
Slender Threads: Prologue,Free,90.71%,Sep 2021,"1,630",0,56,Point-And-Click
PRICE,Free,90.69%,Sep 2016,"17,438",2,660,Point-And-Click
Grim Legends: The Forsaken Bride,$14.99,90.69%,Feb 2014,"2,654",10,"2,931",Point-And-Click
Amanda the Adventurer,$8.99,90.68%,Apr 2023,"12,929",40,"1,418",Point-And-Click
The White Door,$3.99,90.68%,Jan 2020,"9,299",12,"1,144",Point-And-Click
Private Dorm Manager,$10.99,90.67%,Dec 2023,"38,157",59,"3,914",Point-And-Click
Frog Detective 2: The Case of the Invisible Wizard,$4.99,90.67%,Dec 2019,"2,042",4,55,Point-And-Click
Robin Morningwood Adventure - A gay RPG,$34.99,90.66%,Sep 2022,"7,712",22,280,Point-And-Click
Zup! Q,$1.99,90.66%,Mar 2023,495,1,133,Point-And-Click
The Lost Dachshund,Free,90.63%,May 2022,618,0,28,Point-And-Click
DISTRAINT: Deluxe Edition,$0.69,90.61%,Oct 2015,"8,482",4,"165,266",Point-And-Click
The Cat Lady,$8.99,90.59%,Dec 2012,"12,641",13,187,Point-And-Click
Grim Legends 2: Song of the Dark Swan,$14.99,90.54%,Sep 2014,"2,248",3,"2,090",Point-And-Click
American Arcadia,$19.99,90.53%,Nov 2023,"10,395",9,266,Point-And-Click
Mushroom Cats 2,$0.49,90.53%,Apr 2020,418,0,9,Point-And-Click
Marie's Room,Free,90.50%,Apr 2018,"14,038",2,285,Point-And-Click
Five Nights at Freddy's 4,$7.99,90.49%,Jul 2015,"47,284",44,"1,675",Point-And-Click
Chicken Police - Paint it RED!,$19.70,90.45%,Nov 2020,"9,462",4,164,Point-And-Click
Putt-Putt® Saves The Zoo,$6.99,90.45%,Dec 1995,"1,066",27,53,Point-And-Click
Freddi Fish and the Case of the Missing Kelp Seeds,$6.99,90.43%,Oct 1994,"1,577",13,71,Point-And-Click
The Deadseat,$2.99,90.43%,May 2025,"1,333",4,69,Point-And-Click
The Crimson Diamond,$11.99,90.41%,Aug 2024,"3,356",0,109,Point-And-Click
Return to Shironagasu Island,$4.99,90.39%,Mar 2020,"4,339",6,258,Point-And-Click
