Name,Price,Rating,Release,Follows,Online,Peak,Genre
Tower Tactics: Liberation,$12.99,84.29%,Feb 2023,"6,178",11,808,Card-Game
Matchmaking Inc.,$8.99,84.14%,Jan 2025,"15,839",53,"10,109",Card-Game
Everdell,$19.99,84.14%,Jul 2022,"4,057",49,152,Card-Game
Tanto Cuore,$9.99,84.12%,May 2021,"1,027",0,62,Card-Game
Iris and the Giant,$3.59,84.11%,Feb 2020,"4,272",2,242,Card-Game
DOG WITCH,$9.99,84.10%,Nov 2025,"1,005",68,298,Card-Game
Love of Magic,$14.99,84.06%,Dec 2020,"2,708",2,86,Card-Game
Warriors of the Nile 2,$14.99,84.04%,Aug 2022,"3,373",15,"2,199",Card-Game
The Solitaire Conspiracy,$11.99,83.99%,Oct 2020,"2,188",0,189,Card-Game
The Fabulous Fear Machine,$17.99,83.96%,Oct 2023,"4,368",0,288,Card-Game
RUNGORE,$14.99,83.74%,May 2024,"6,529",12,208,Card-Game
ISEKAI QUEST,$3.99,83.72%,Sep 2020,"14,866",8,495,Card-Game
The Horror at Highrook,$19.99,83.72%,May 2025,"4,681",3,231,Card-Game
Recesses,$4.99,83.72%,Aug 2024,111,0,27,Card-Game
Anode Heart: Layer Null,$15.99,83.69%,Nov 2025,705,37,58,Card-Game
Tetra Project - 原石计划,$9.99,83.67%,Sep 2019,"6,340",0,133,Card-Game
Into the Restless Ruins DemoDemo,Free,83.65%,Aug 2024,—,0,47,Card-Game
Card City Nights,$9.99,83.64%,Feb 2014,"2,056",2,352,Card-Game
Heat Death,$14.99,83.63%,Jul 2022,771,0,32,Card-Game
Balantica,Free,83.61%,Dec 2024,195,2,18,Card-Game
Cards & Tankards,Free,83.59%,May 2023,"1,204",10,57,Card-Game
Fhtagn Simulator,$7.99,83.57%,Oct 2022,"2,840",0,238,Card-Game
Cardeneer,Free,83.53%,Nov 2023,296,2,70,Card-Game
Kingslayer: The First Assassin,$0.99,83.53%,Apr 2021,93,0,6,Card-Game
