Name,Price,Rating,Release,Follows,Online,Peak,Genre
"Planes, Bullets and Vodka",$0.49,82.63%,Dec 2016,572,87,"7,140",Casual
Castle Story,$4.99,63.69%,Aug 2017,"36,960",86,"1,565",Casual
Zombidle : REMONSTERED,Free,81.62%,May 2017,"3,402",86,"2,382",Casual
LEGO® Worlds,$29.99,76.77%,Mar 2017,"134,905",85,"4,911",Casual
Scribblenauts Unlimited,$1.99,91.37%,Nov 2012,"24,056",85,"5,180",Casual
Sid Meier's Railroads!,$9.99,69.15%,Oct 2006,"4,241",83,"1,008",Casual
Viridi,Free,89.20%,Aug 2015,"15,521",82,"1,282",Casual
Animation Throwdown: The Quest for Cards,Free,72.22%,May 2017,"5,205",81,"1,380",Casual
Spiral Knights,Free,82.06%,Jun 2011,"38,410",80,"13,143",Casual
SteamWorld Dig 2,$1.19,92.52%,Sep 2017,"21,114",80,"3,736",Casual
Autonauts,$19.99,86.45%,Oct 2019,"20,667",79,"3,598",Casual
Soda Dungeon,Free,91.14%,Feb 2017,"11,483",79,"5,690",Casual
My Free Zoo,Free,60.99%,Nov 2017,"2,099",78,509,Casual
Who's Your Daddy?!,$9.99,78.59%,Dec 2015,"94,490",78,"1,209",Casual
Little Inferno,$4.94,92.33%,Nov 2012,"12,017",78,"2,129",Casual
SteamWorld Dig,$0.89,90.93%,Dec 2013,"12,223",77,"2,805",Casual
Kingdom Rush Origins - Tower Defense,$14.99,92.64%,Oct 2018,"28,364",77,"2,000",Casual
GRIS,$14.99,94.65%,Dec 2018,"133,865",77,"2,535",Casual
Project Highrise,$19.99,82.15%,Sep 2016,"39,915",76,"2,515",Casual
LIMBO,$9.99,90.86%,Aug 2011,"49,312",76,"27,466",Casual
VA-11 Hall-A: Cyberpunk Bartender Action,$10.04,95.41%,Jun 2016,"99,576",76,"1,574",Casual
OneShot,$9.99,96.55%,Dec 2016,"74,044",76,824,Casual
We Were Here Too,$9.99,77.76%,Feb 2018,"28,545",74,"1,017",Casual
Farm Frenzy Collection,$3.99,88.48%,Aug 2015,"1,312",74,142,Casual
Machinarium,$19.99,92.71%,Oct 2009,"30,559",74,"1,279",Casual
Dicey Dungeons,$14.99,87.08%,Aug 2019,"25,719",71,"2,994",Casual
Battle Tanks: World War II,Free,64.42%,Feb 2019,"2,742",70,248,Casual
Mini World: CREATA,Free,57.73%,Apr 2018,"4,390",69,939,Casual
Eldevin,Free,76.71%,Nov 2014,"6,376",69,"1,013",Casual
Animal Shelter,$19.99,84.34%,Mar 2022,"30,041",69,"1,750",Casual
The Universim,$29.99,78.70%,Jan 2024,"192,899",68,"2,825",Casual
Will Glow the Wisp,$1.99,80.04%,Sep 2017,"1,736",68,493,Casual
Kingdom: Classic,Free,88.63%,Oct 2015,"50,778",66,"64,944",Casual
侠客风云传(Tale of Wuxia),$16.99,74.65%,Apr 2016,"36,526",64,963,Casual
Total Tank Simulator,$5.99,77.14%,May 2020,"38,645",64,"1,707",Casual
Lost Lands: Mahjong,Free,88.45%,Mar 2016,"1,742",62,443,Casual
Fun Hospital,Free,61.65%,Jun 2018,"1,564",61,310,Casual
ZUSI 3 - Aerosoft Edition,$69.99,85.20%,Jun 2019,"2,511",61,149,Casual
Syberia,$12.99,85.58%,Sep 2002,"9,635",61,"1,292",Casual
FATE,$7.99,91.84%,May 2005,"7,393",60,354,Casual
Insanity Clicker,Free,65.62%,Jun 2016,"5,303",59,"6,819",Casual
Starblast,$9.99,77.59%,Nov 2017,"1,803",59,88,Casual
Cloud Meadow,$19.99,83.51%,Mar 2020,"58,080",59,748,Casual
Swords & Souls: Neverseen,$14.99,90.06%,Jul 2019,"24,568",59,"2,137",Casual
Pictopix,$6.99,91.46%,Jan 2017,"2,021",59,773,Casual
CLANNAD,$17.99,95.38%,Apr 2004,"63,773",59,415,Casual
Clue/Cluedo: Classic Edition,$16.99,84.33%,May 2018,"8,291",58,355,Casual
The Jackbox Party Pack 6,$16.49,91.04%,Oct 2019,"12,824",58,"6,630",Casual
The Jackbox Party Pack 4,$11.24,91.17%,Oct 2017,"8,042",58,"3,902",Casual
Tales from the Borderlands,$19.99,91.93%,Feb 2021,"80,480",58,"8,690",Casual
The Room,$4.99,95.65%,Jul 2014,"26,814",58,809,Casual
Motorcycle Mechanic Simulator 2021,$1.99,65.47%,Nov 2021,"15,909",57,547,Casual
Sakura Clicker,Free,81.39%,Jul 2015,"25,196",57,"9,127",Casual
The LEGO® Movie - Videogame,$19.99,84.28%,Feb 2014,"11,921",57,"1,402",Casual
HunieCam Studio,$6.99,84.94%,Apr 2016,"19,222",56,"2,675",Casual
Farmer's Dynasty,$19.99,73.05%,Nov 2019,"27,507",55,"1,044",Casual
Holyday City: Reloaded,Free,77.97%,Dec 2017,"2,154",54,"1,813",Casual
Gauntlet™ Slayer Edition,$2.99,79.85%,Sep 2014,"60,805",54,"12,730",Casual
Bridge Constructor Portal,$0.99,88.76%,Dec 2017,"47,718",53,"1,745",Casual
Job Simulator,$13.99,88.06%,Apr 2016,"26,151",52,611,Casual
Clustertruck,$14.99,91.19%,Sep 2016,"64,267",52,"2,658",Casual
Pumpkin Jack,$2.99,88.68%,Oct 2020,"17,767",51,576,Casual
Cat Quest,$12.99,91.97%,Aug 2017,"22,700",51,"1,651",Casual
PRO EVOLUTION SOCCER 2019,—,54.77%,Aug 2018,"19,555",50,"6,551",Casual
Mountain,$0.99,86.11%,Jul 2014,"13,741",49,"1,667",Casual
SEGA Mega Drive and Genesis Classics,—,78.21%,Jun 2010,"26,886",48,"4,522",Casual
Yume Nikki,Free,91.31%,Jan 2018,"17,136",48,469,Casual
Big Bang Empire,Free,65.91%,Aug 2016,"3,704",47,629,Casual
SimAirport,$24.99,76.88%,Feb 2020,"38,428",47,"1,071",Casual
Dead Rising 4,$29.99,56.50%,Mar 2017,"39,352",46,"2,178",Casual
Villagers and Heroes,Free,60.25%,Apr 2014,"20,288",46,"2,964",Casual
