tag_name,url,game_count
Metroidvania,https://steamdb.info/tag/1628/,3168
Souls-like,https://steamdb.info/tag/29482/,3128
Creature Collector,https://steamdb.info/tag/916648/,3095
Runner,https://steamdb.info/tag/8666/,3090
Flight,https://steamdb.info/tag/15045/,3013
CRPG,https://steamdb.info/tag/4474/,2679
Twin Stick Shooter,https://steamdb.info/tag/4758/,2238
Mystery Dungeon,https://steamdb.info/tag/198631/,1740
Match 3,https://steamdb.info/tag/1665/,1701
Looter Shooter,https://steamdb.info/tag/353880/,1585
Spectacle fighter,https://steamdb.info/tag/4777/,1517
Hero Shooter,https://steamdb.info/tag/620519/,1505
Solitaire,https://steamdb.info/tag/13070/,1445
Combat Racing,https://steamdb.info/tag/4102/,1435
Action RTS,https://steamdb.info/tag/1723/,1341
Trading Card Game,https://steamdb.info/tag/9271/,1182
Sokoban,https://steamdb.info/tag/1730/,1169
Boomer Shooter,https://steamdb.info/tag/1023537/,1080
Political Sim,https://steamdb.info/tag/26921/,954
Typing,https://steamdb.info/tag/1674/,940
Traditional Roguelike,https://steamdb.info/tag/454187/,596
On-Rails Shooter,https://steamdb.info/tag/56690/,581
Shop Keeper,https://steamdb.info/tag/91114/,501
Spelling,https://steamdb.info/tag/71389/,496
Outbreak Sim,https://steamdb.info/tag/1100686/,415
Roguevania,https://steamdb.info/tag/922563/,398
Medical Sim,https://steamdb.info/tag/1100688/,358
Mahjong,https://steamdb.info/tag/33572/,110
Cricket,https://steamdb.info/tag/158638/,37
Action,https://steamdb.info/tag/19/?min_reviews=500,95943
Fantasy,https://steamdb.info/tag/1684/?min_reviews=500,32508
Action-Adventure,https://steamdb.info/tag/4106/?min_reviews=500,24177
Anime,https://steamdb.info/tag/4085/?min_reviews=500,21294
Horror,https://steamdb.info/tag/1667/?min_reviews=500,20493
Sci-fi,https://steamdb.info/tag/3942/?min_reviews=500,19543
Comedy,https://steamdb.info/tag/1719/?min_reviews=500,13453
Drama,https://steamdb.info/tag/5984/,9515
VR,https://steamdb.info/tag/21978/,9297
Design & Illustration,https://steamdb.info/tag/84/,5408
Tutorial,https://steamdb.info/tag/12057/,4232
Short,https://steamdb.info/tag/4234/,3056
Game Development,https://steamdb.info/tag/13906/,2612
Animation & Modeling,https://steamdb.info/tag/872/,1803
Movie,https://steamdb.info/tag/4700/,1656
Episodic,https://steamdb.info/tag/4242/,677
Foreign,https://steamdb.info/tag/51306/,568
360 Video,https://steamdb.info/tag/776177/,367
Gaming,https://steamdb.info/tag/150626/,253
Documentary,https://steamdb.info/tag/15339/,207
Profile Features Limited,https://steamdb.info/tag/1003823/?min_reviews=500,131882
Demo Available,https://steamdb.info/tag/21491/?min_reviews=500,23908
AI Content Disclosed,https://steamdb.info/tag/1368160/?min_reviews=500,13439
Adult Content,https://steamdb.info/tag/65443/?min_reviews=500,11607
Hentai,https://steamdb.info/tag/9130/,6235
Cozy,https://steamdb.info/tag/97376/,2559
Fighting,https://steamdb.info/tag/1743/,1977
Classic,https://steamdb.info/tag/1693/,1454
Wholesome,https://steamdb.info/tag/552282/,1454
Roguelike Deckbuilder,https://steamdb.info/tag/1091588/,1365
Narrative,https://steamdb.info/tag/7702/,1237
Open World Survival Craft,https://steamdb.info/tag/1100689/,1210
Immersive,https://steamdb.info/tag/3934/,999
Party,https://steamdb.info/tag/7108/,810
Escape Room,https://steamdb.info/tag/769306/,755
Job Simulator,https://steamdb.info/tag/35079/,544
Nostalgia,https://steamdb.info/tag/14720/,479
Addictive,https://steamdb.info/tag/4190/,466
Farming,https://steamdb.info/tag/4520/,456
Social Deduction,https://steamdb.info/tag/745697/,332
Cult Classic,https://steamdb.info/tag/7782/,327
Pinball,https://steamdb.info/tag/6621/,322
Spaceships,https://steamdb.info/tag/4291/,300
Electronic Music,https://steamdb.info/tag/61357/,300
Ambient,https://steamdb.info/tag/29855/,284
Jump Scare,https://steamdb.info/tag/42089/,236
